Machine ,"Reason
Remarks",Date Label,"Attended
By","Duration
Log >> Close/Now",Production or Process Defect?
2,0,1,16,8,0
54,3,1,10,20,1
36,0,0,7,12,0
34,0,0,8,35,0
48,1,0,10,40,0
30,4,0,8,48,1
28,0,0,8,42,0
61,0,0,2,43,0
52,0,0,10,28,0
52,0,0,10,36,0
26,4,0,8,15,1
21,1,0,8,48,0
51,3,0,10,45,1
39,4,0,7,22,1
23,4,0,7,27,1
1,1,0,17,27,0
36,4,0,8,40,1
11,0,0,17,31,0
15,0,0,25,21,0
17,0,0,25,35,0
45,0,0,7,46,0
11,0,0,17,10,0
26,4,0,8,48,1
28,0,1,8,27,0
39,4,0,10,53,1
23,0,1,25,56,0
69,1,1,2,33,0
42,0,1,7,6,0
41,0,1,8,29,0
49,3,1,10,22,1
48,0,1,10,10,0
50,0,1,10,11,0
51,4,1,10,38,1
21,0,1,25,36,0
47,0,1,10,35,0
44,3,1,10,39,1
43,1,1,2,40,0
47,4,1,7,22,1
34,0,1,25,43,0
39,3,1,7,22,1
32,4,1,25,23,1
1,1,1,17,25,0
2,0,1,16,12,0
66,1,1,2,19,0
9,0,1,16,37,0
11,0,1,16,33,0
11,0,1,25,14,0
49,1,1,10,25,0
51,0,2,10,17,0
2,0,2,19,21,0
6,3,2,4,19,1
20,0,2,4,23,0
48,4,2,12,29,1
21,1,2,4,45,0
33,0,2,23,26,0
43,0,2,23,10,0
57,0,2,19,13,0
47,0,2,23,42,0
62,0,2,20,32,0
64,0,2,20,21,0
49,0,2,12,39,0
0,0,2,14,9,0
58,4,2,12,56,1
14,0,2,14,33,0
34,1,2,19,12,0
48,0,2,12,54,0
31,1,2,19,17,0
66,0,2,20,56,0
10,3,2,14,16,1
43,0,2,19,44,0
2,0,2,14,41,0
38,1,2,19,16,0
40,1,2,19,36,0
1,1,2,14,47,0
65,0,2,12,7,0
34,0,2,19,13,0
65,0,2,19,16,0
35,0,2,19,12,0
48,0,3,12,20,0
43,0,2,23,59,0
2,0,3,3,25,0
51,1,3,20,17,0
61,0,3,12,10,0
39,1,3,23,7,0
43,0,3,23,11,0
53,0,3,12,23,0
15,0,3,3,25,0
58,4,3,12,23,1
41,0,3,23,2,0
21,0,3,4,34,0
23,0,3,3,11,0
54,3,3,12,1,1
61,3,3,20,2,1
37,1,3,23,9,0
59,3,3,12,18,1
21,0,3,4,22,0
55,3,3,12,13,1
27,1,3,19,32,0
9,3,3,3,26,1
34,1,3,19,11,0
10,3,3,3,6,1
10,3,3,4,54,1
11,0,3,4,46,0
54,3,3,12,5,1
61,0,3,12,9,0
2,1,3,3,48,0
3,1,3,3,11,0
47,0,3,19,23,0
53,0,3,12,17,0
41,0,3,4,18,0
44,3,3,20,29,1
36,0,3,20,17,0
34,1,3,4,13,0
35,0,3,19,32,0
19,0,3,4,13,0
46,0,3,23,28,0
33,0,3,19,12,0
41,0,3,19,34,0
59,3,0,15,16,1
29,0,0,13,10,0
62,0,0,15,6,0
47,3,0,21,15,1
60,0,0,15,3,0
48,1,0,15,13,0
30,4,0,15,12,1
44,0,0,21,10,0
53,0,0,15,3,0
64,4,0,15,2,1
60,1,0,15,23,0
60,0,0,15,26,0
37,4,0,21,20,1
36,4,0,21,6,1
37,1,1,21,19,0
56,0,1,15,4,0
42,3,1,21,57,1
51,0,1,15,15,0
60,1,1,15,19,0
48,1,1,15,8,0
57,0,1,15,8,0
34,1,1,13,21,0
50,3,1,15,22,1
48,0,1,15,14,0
34,1,1,21,26,0
34,1,1,21,11,0
43,0,2,23,23,0
51,1,2,12,19,0
46,0,2,3,24,0
2,4,2,4,17,1
43,0,2,23,8,0
49,3,2,12,1,1
39,4,2,25,30,1
44,0,2,3,25,0
62,0,2,3,16,0
3,3,2,4,43,1
38,4,2,23,14,1
1,0,2,14,31,0
15,0,2,3,13,0
58,4,2,12,13,1
43,0,2,23,7,0
21,1,2,14,29,0
43,1,2,23,9,0
56,0,2,12,23,0
3,0,2,14,36,0
28,0,2,19,11,0
9,0,2,19,12,0
21,3,2,4,15,1
2,1,2,25,26,0
41,1,2,23,15,0
69,0,2,20,5,0
9,0,2,25,17,0
7,0,2,4,9,0
8,0,2,23,7,0
36,0,2,23,24,0
52,0,2,12,15,0
8,0,2,25,9,0
54,0,3,12,1,0
36,0,3,23,16,0
62,3,3,20,23,1
36,0,3,23,24,0
37,3,3,3,12,1
50,0,3,12,10,0
18,1,3,14,29,0
21,4,3,25,35,1
11,1,3,14,16,0
2,1,3,14,5,0
9,0,3,4,13,0
15,0,3,14,43,0
18,1,3,4,19,0
22,1,3,25,13,0
10,1,3,25,2,0
7,0,3,25,4,0
44,0,3,23,11,0
15,0,3,25,16,0
42,0,3,12,11,0
46,3,3,23,29,1
67,3,3,12,10,1
37,1,3,19,18,0
0,4,3,14,38,1
3,0,3,25,41,0
37,1,3,23,37,0
34,1,3,19,30,0
10,1,3,14,8,0
49,3,3,12,7,1
21,1,3,14,27,0
11,4,3,14,14,1
65,4,3,20,15,1
30,1,3,19,11,0
46,3,0,12,25,1
51,3,0,20,8,1
15,0,0,4,7,0
60,0,0,15,9,0
41,0,0,21,10,0
43,0,0,15,6,0
62,3,0,15,14,1
48,0,0,11,8,0
60,0,0,11,13,0
67,0,0,15,5,0
61,0,0,15,45,0
67,0,0,15,12,0
52,0,0,11,23,0
62,3,0,15,9,1
39,1,0,21,17,0
61,0,0,15,39,0
57,0,0,11,12,0
52,0,0,11,7,0
39,3,0,21,38,1
45,0,0,21,8,0
27,0,0,11,14,0
64,4,1,15,7,1
44,0,1,21,33,0
39,1,1,21,16,0
44,0,1,21,13,0
62,3,1,15,52,1
11,0,1,5,12,0
53,0,1,11,15,0
40,0,1,21,52,0
49,0,1,15,6,0
11,0,1,5,9,0
59,3,1,15,18,1
59,0,1,11,16,0
52,1,1,11,3,0
31,0,1,15,29,0
40,0,1,15,4,0
50,0,2,11,5,0
63,3,2,10,10,1
27,0,2,10,24,0
28,0,2,10,29,0
10,3,2,25,14,1
25,4,2,8,8,1
48,0,2,10,7,0
25,0,2,8,12,0
28,0,2,8,7,0
59,3,2,10,52,1
42,4,2,7,10,1
7,1,2,14,37,0
10,3,2,14,31,1
53,1,2,7,14,0
11,1,2,14,10,0
50,0,2,10,11,0
59,3,2,10,31,1
17,1,2,14,8,0
36,3,2,7,2,1
26,0,2,8,30,0
9,0,3,14,23,0
28,3,3,25,18,1
52,3,3,10,3,1
35,4,3,8,6,1
63,4,3,7,7,1
48,0,3,10,24,0
50,0,3,10,14,0
52,3,3,10,13,1
15,1,3,25,6,0
59,3,3,10,10,1
18,1,3,25,26,0
28,1,3,8,6,0
49,4,3,10,9,1
32,3,3,8,6,1
36,0,3,8,16,0
68,1,0,15,14,0
47,4,0,21,23,1
46,0,0,21,17,0
36,4,0,21,27,1
9,1,0,9,4,0
66,1,0,15,20,0
45,4,0,21,5,1
50,0,0,11,8,0
61,3,0,15,13,1
6,0,0,9,11,0
50,0,0,11,22,0
64,0,0,15,6,0
6,0,0,9,9,0
5,4,0,9,4,1
44,4,0,21,9,1
48,1,0,11,2,0
57,0,0,15,5,0
57,0,0,15,18,0
43,0,0,21,11,0
49,4,0,15,14,1
39,0,0,21,25,0
57,0,0,15,18,0
12,3,0,15,7,1
9,0,1,15,6,0
49,0,1,15,51,0
2,4,1,9,59,1
29,0,1,13,6,0
65,0,1,11,12,0
66,0,1,15,8,0
68,4,1,15,15,1
49,0,1,15,2,0
11,4,1,9,10,1
49,0,1,11,23,0
65,0,1,15,14,0
37,3,1,21,5,1
63,0,1,11,4,0
59,0,2,15,4,0
17,0,2,25,26,0
59,0,2,10,49,0
17,0,2,25,11,0
23,3,2,25,22,1
17,0,2,25,25,0
51,3,2,10,3,1
31,0,2,12,23,0
26,4,2,12,17,1
65,0,2,20,37,0
4,0,2,16,27,0
7,3,2,25,12,1
40,3,2,7,11,1
5,3,2,25,25,1
17,0,2,25,23,0
43,0,2,7,3,0
64,1,2,20,47,0
3,3,3,25,28,1
25,1,3,25,11,0
5,1,3,25,16,0
48,0,3,10,12,0
39,4,3,7,14,1
34,1,3,8,9,0
17,0,3,25,17,0
64,0,3,20,4,0
25,1,3,8,3,0
66,0,3,12,38,0
49,0,3,10,24,0
53,0,3,10,9,0
7,0,0,25,18,0
61,0,0,11,17,0
69,0,0,3,8,0
49,0,0,11,28,0
59,0,0,3,18,0
65,0,0,11,17,0
1,4,0,9,7,1
54,0,0,11,12,0
61,1,0,3,7,0
7,0,0,9,49,0
60,0,0,3,5,0
64,0,0,3,9,0
2,4,0,9,8,1
59,0,0,11,6,0
67,0,0,3,12,0
7,0,0,11,9,0
65,0,0,3,13,0
67,0,0,11,20,0
54,1,0,3,16,0
18,4,0,22,5,1
65,0,0,3,3,0
42,0,0,3,3,0
43,1,0,3,19,0
65,0,0,3,9,0
68,0,0,11,30,0
54,0,1,11,9,0
49,0,1,3,5,0
57,0,1,3,5,0
39,3,1,21,33,1
2,0,1,11,48,0
68,0,1,3,6,0
15,1,2,25,20,0
27,0,2,8,43,0
2,4,2,16,38,1
7,4,2,25,31,1
7,1,3,16,34,0
21,3,3,25,14,1
46,0,3,7,42,0
46,0,3,7,18,0
32,1,3,8,15,0
44,3,3,7,20,1
61,0,0,20,39,0
27,3,0,19,10,1
15,0,0,4,17,0
54,0,0,19,5,0
46,1,0,23,17,0
57,0,0,12,3,0
49,0,0,12,9,0
56,1,0,12,23,0
41,1,0,23,27,0
28,4,0,19,6,1
66,0,0,20,18,0
31,1,0,19,11,0
52,1,0,12,29,0
40,1,0,23,10,0
57,1,0,12,17,0
64,0,0,20,28,0
43,1,0,23,18,0
39,3,0,23,6,1
17,0,0,14,10,0
44,3,0,23,26,1
62,4,0,20,15,1
41,4,0,23,23,1
40,1,0,23,10,0
46,4,0,23,5,1
21,3,0,4,9,1
44,3,0,23,24,1
50,4,0,12,18,1
7,3,0,4,28,1
46,0,0,23,35,0
39,3,0,12,29,1
41,1,1,23,24,0
59,3,1,12,19,1
60,0,1,20,17,0
45,1,1,23,39,0
64,0,1,20,10,0
16,0,1,14,7,0
49,3,1,12,5,1
51,3,1,20,5,1
54,1,1,12,16,0
64,0,1,20,25,0
64,0,1,12,21,0
51,3,2,12,2,1
17,0,2,4,17,0
51,1,2,12,1,0
39,3,2,21,16,1
25,4,2,8,21,1
18,1,2,25,5,0
32,4,2,21,11,1
59,0,2,15,18,0
40,0,2,15,8,0
2,0,2,16,15,0
1,1,2,25,27,0
53,0,2,15,4,0
2,0,2,16,15,0
15,3,2,25,14,1
64,0,2,15,12,0
57,0,3,15,6,0
66,0,3,15,8,0
0,0,3,25,51,0
61,0,3,15,13,0
50,0,3,15,4,0
23,3,3,25,32,1
29,1,3,8,5,0
23,1,3,25,25,0
65,0,3,15,12,0
29,1,3,8,15,0
62,0,0,20,54,0
45,4,0,12,18,1
49,3,0,12,13,1
13,3,0,14,3,1
0,1,0,14,25,0
52,0,0,12,18,0
57,0,0,20,8,0
68,1,0,20,11,0
57,0,0,12,4,0
40,1,0,23,9,0
7,0,0,14,9,0
57,1,0,12,38,0
68,1,0,20,12,0
20,0,0,4,23,0
49,1,0,12,3,0
48,4,0,12,20,1
65,0,0,12,21,0
57,0,0,14,12,0
61,3,1,12,3,1
61,0,1,3,11,0
20,1,1,4,33,0
62,0,1,20,25,0
40,1,1,23,13,0
48,4,1,12,12,1
51,4,1,20,12,1
49,0,1,12,32,0
32,1,1,23,15,0
53,1,1,12,13,0
12,1,1,4,9,0
8,0,1,3,15,0
32,3,1,19,37,1
65,0,1,20,22,0
68,4,1,20,36,1
64,4,1,12,21,1
40,1,1,3,48,0
8,3,1,23,59,1
46,0,0,24,25,0
47,0,0,3,33,0
28,4,0,4,40,1
36,3,0,24,16,1
3,1,0,14,28,0
39,3,0,3,22,1
1,1,0,14,39,0
9,1,0,14,6,0
50,4,0,12,8,1
50,4,0,12,3,1
47,0,0,24,18,0
61,0,0,12,11,0
48,1,0,12,6,0
39,0,0,24,18,0
16,1,0,4,11,0
33,0,0,4,44,0
39,1,1,24,13,0
29,1,1,19,34,0
42,1,1,24,12,0
13,0,1,4,9,0
48,4,1,12,14,1
